T,ρ,u,h,s,cv,cp,w
460.000,0.23620,2640.370,2852.060,8.1041,1.4832,1.9532,527.22
470.000,0.23112,2655.260,2871.600,8.1461,1.4872,1.9563,532.76
480.000,0.22625,2670.190,2891.180,8.1873,1.4915,1.9599,538.23
490.000,0.22159,2685.160,2910.800,8.2278,1.4961,1.9639,543.63
500.000,0.21712,2700.180,2930.460,8.2675,1.5009,1.9681,548.96
510.000,0.21283,2715.240,2950.170,8.3065,1.5060,1.9727,554.22
520.000,0.20871,2730.350,2969.920,8.3449,1.5112,1.9775,559.41
530.000,0.20474,2745.510,2989.720,8.3826,1.5166,1.9825,564.54
540.000,0.20093,2760.720,3009.570,8.4197,1.5221,1.9877,569.62
550.000,0.19726,2775.990,3029.470,8.4562,1.5278,1.9931,574.64
560.000,0.19371,2791.320,3049.430,8.4922,1.5335,1.9985,579.60
570.000,0.19030,2806.700,3069.440,8.5276,1.5394,2.0041,584.51
580.000,0.18700,2822.140,3089.510,8.5625,1.5453,2.0098,589.37
590.000,0.18382,2837.640,3109.640,8.5969,1.5513,2.0156,594.17
600.000,0.18075,2853.190,3129.830,8.6308,1.5574,2.0215,598.93
610.000,0.17777,2868.810,3150.070,8.6643,1.5635,2.0275,603.64
620.000,0.17489,2884.490,3170.380,8.6973,1.5697,2.0335,608.31
630.000,0.17211,2900.230,3190.740,8.7299,1.5760,2.0396,612.93
640.000,0.16941,2916.030,3211.170,8.7621,1.5823,2.0458,617.50
650.000,0.16680,2931.890,3231.660,8.7938,1.5886,2.0521,622.04
675.000,0.16060,2971.830,3283.160,8.8716,1.6047,2.0679,633.19
700.000,0.15485,3012.170,3335.050,8.9471,1.6210,2.0840,644.11
725.000,0.14950,3052.920,3387.360,9.0205,1.6376,2.1004,654.79
750.000,0.14451,3094.080,3440.080,9.0920,1.6544,2.1170,665.25
775.000,0.13984,3135.670,3493.210,9.1617,1.6714,2.1339,675.51
800.000,0.13547,3177.680,3546.770,9.2297,1.6885,2.1509,685.58
825.000,0.13136,3220.120,3600.760,9.2961,1.7058,2.1682,695.46
850.000,0.12749,3262.990,3655.180,9.3611,1.7233,2.1855,705.17
900.000,0.12040,3350.050,3765.330,9.4870,1.7585,2.2206,724.09
950.000,0.11406,3438.880,3877.250,9.6080,1.7939,2.2560,742.42
1000.000,0.10835,3529.470,3990.930,9.7247,1.8294,2.2914,760.20
1050.000,0.10319,3621.840,4106.390,9.8373,1.8648,2.3267,777.50
1100.000,0.09850,3715.960,4223.590,9.9463,1.8998,2.3616,794.35
1150.000,0.09421,3811.820,4342.540,10.0520,1.9343,2.3961,810.79
1200.000,0.09029,3909.390,4463.190,10.1550,1.9681,2.4299,826.86
1250.000,0.08667,4008.630,4585.510,10.2550,2.0012,2.4629,842.59
1273.000,0.08511,4054.840,4642.330,10.3000,2.0161,2.4778,849.71
,,,,,,,
P=0.1MPa,,,,,,,
273.153,999.84300,-0.028,0.072,-0.0001,4.2170,4.2194,1402.40
275.000,999.93700,7.760,7.860,0.0283,4.2128,4.2135,1411.50
280.000,999.91000,28.794,28.894,0.1041,4.1998,4.2009,1434.30
285.000,999.51700,49.776,49.876,0.1784,4.1848,4.1924,1454.40
290.000,998.80300,70.722,70.822,0.2512,4.1680,4.1866,1472.30
295.000,997.80700,91.645,91.745,0.3228,4.1498,4.1829,1487.90
300.000,996.55600,112.553,112.654,0.3931,4.1302,4.1806,1501.50
305.000,995.07500,133.453,133.554,0.4622,4.1094,4.1795,1513.30
310.000,993.38300,154.350,154.450,0.5301,4.0876,4.1792,1523.40
315.000,991.49600,175.246,175.347,0.5970,4.0649,4.1796,1531.90
320.000,989.42600,196.146,196.247,0.6628,4.0414,4.1805,1538.90
325.000,987.18700,217.052,217.153,0.7276,4.0172,4.1819,1544.50
330.000,984.78600,237.966,238.067,0.7915,3.9923,4.1837,1548.90
335.000,982.23300,258.889,258.991,0.8544,3.9671,4.1858,1552.00
340.000,979.53500,279.823,279.926,0.9165,3.9414,4.1883,1554.00
345.000,976.69900,300.772,300.874,0.9776,3.9155,4.1912,1555.00
350.000,973.72800,321.735,321.838,1.0380,3.8894,4.1945,1554.90
355.000,970.62800,342.716,342.820,1.0975,3.8631,4.1982,1554.00
360.000,967.40300,363.717,363.821,1.1562,3.8369,4.2023,1552.10
365.000,964.05700,384.740,384.844,1.2142,3.8107,4.2070,1549.30
370.000,960.59100,405.787,405.891,1.2715,3.7845,4.2121,1545.80
372.756,958.63200,417.400,417.504,1.3028,3.7702,4.2152,1543.50
372.756,0.59034,2505.550,2674.950,7.3588,1.5548,2.0784,471.99
375.000,0.58653,2509.110,2679.600,7.3713,1.5479,2.0686,473.59
380.000,0.57824,2516.960,2689.900,7.3986,1.5356,2.0507,477.08
385.000,0.57021,2524.740,2700.110,7.4253,1.5262,2.0366,480.47
390.000,0.56245,2532.470,2710.270,7.4515,1.5189,2.0252,483.80
395.000,0.55491,2540.160,2720.370,7.4772,1.5130,2.0157,487.08
400.000,0.54761,2547.810,2730.430,7.5025,1.5082,2.0078,490.31
410.000,0.53361,2563.040,2750.440,7.5519,1.5012,1.9954,496.63
420.000,0.52038,2578.180,2770.350,7.5999,1.4968,1.9868,502.81
430.000,0.50783,2593.270,2790.180,7.6466,1.4945,1.9809,508.86
440.000,0.49592,2608.330,2809.970,7.6921,1.4938,1.9772,514.78
450.000,0.48458,2623.370,2829.730,7.7365,1.4943,1.9752,520.60
460.000,0.47378,2638.410,2849.480,7.7799,1.4957,1.9746,526.32
470.000,0.46347,2653.460,2869.230,7.8224,1.4980,1.9751,531.94
480.000,0.45361,2668.530,2888.990,7.8640,1.5009,1.9764,537.48
490.000,0.44418,2683.620,2908.760,7.9047,1.5043,1.9785,542.93
500.000,0.43514,2698.750,2928.560,7.9447,1.5082,1.9813,548.31
510.000,0.42647,2713.910,2948.390,7.9840,1.5124,1.9845,553.62
520.000,0.41815,2729.100,2968.250,8.0226,1.5169,1.9881,558.86
530.000,0.41016,2744.340,2988.150,8.0605,1.5217,1.9921,564.03
540.000,0.40247,2759.630,3008.090,8.0978,1.5267,1.9964,569.14
550.000,0.39507,2774.960,3028.080,8.1344,1.5319,2.0010,574.19
560.000,0.38794,2790.340,3048.110,8.1705,1.5373,2.0058,579.18
570.000,0.38107,2805.780,3068.200,8.2061,1.5428,2.0108,584.12
580.000,0.37444,2821.260,3088.330,8.2411,1.5484,2.0160,589.00
590.000,0.36804,2836.800,3108.520,8.2756,1.5541,2.0213,593.83
600.000,0.36185,2852.400,3128.760,8.3096,1.5600,2.0268,598.61
610.000,0.35588,2868.060,3149.050,8.3432,1.5659,2.0324,603.34
620.000,0.35010,2883.770,3169.400,8.3763,1.5719,2.0381,608.02
630.000,0.34450,2899.540,3189.810,8.4089,1.5780,2.0439,612.65
640.000,0.33909,2915.370,3210.280,8.4411,1.5841,2.0497,617.25
650.000,0.33384,2931.270,3230.810,8.4730,1.5903,2.0557,621.79
675.000,0.32141,2971.270,3282.390,8.5508,1.6061,2.0710,632.98
700.000,0.30988,3011.660,3334.360,8.6264,1.6222,2.0867,643.92
725.000,0.29915,3052.450,3386.730,8.6999,1.6386,2.1027,654.63
750.000,0.28915,3093.660,3439.500,8.7715,1.6553,2.1191,665.11
775.000,0.27979,3135.280,3492.680,8.8413,1.6721,2.1357,675.39
800.000,0.27102,3177.320,3546.290,8.9093,1.6892,2.1525,685.47
825.000,0.26279,3219.780,3600.310,8.9758,1.7064,2.1696,695.36
850.000,0.25504,3262.680,3654.770,9.0408,1.7238,2.1868,705.08
900.000,0.24085,3349.780,3764.980,9.1668,1.7589,2.2216,724.03
950.000,0.22815,3438.640,3876.940,9.2879,1.7943,2.2568,742.37
1000.000,0.21673,3529.260,3990.660,9.4045,1.8297,2.2921,760.17
1050.000,0.20640,3621.650,4106.140,9.5172,1.8650,2.3273,777.47
1100.000,0.19701,3715.790,4223.380,9.6263,1.9000,2.3621,794.33
1150.000,0.18844,3811.670,4342.350,9.7321,1.9344,2.3965,810.78
1200.000,0.18058,3909.250,4463.020,9.8348,1.9682,2.4302,826.85
1250.000,0.17335,4008.500,4585.360,9.9346,2.0013,2.4632,842.59
1273.000,0.17022,4054.710,4642.180,9.9797,2.0162,2.4781,849.72
,,,,,,,
P=0.101325MPa,,,,,,,
273.153,999.84300,-0.028,0.074,-0.0001,4.2170,4.2194,1402.40
275.000,999.93800,7.760,7.861,0.0283,4.2128,4.2135,1411.50
280.000,999.91100,28.794,28.895,0.1041,4.1998,4.2009,1434.30
285.000,999.51700,49.776,49.877,0.1784,4.1848,4.1924,1454.40
290.000,998.80400,70.722,70.824,0.2512,4.1680,4.1866,1472.30
295.000,997.80700,91.645,91.747,0.3228,4.1498,4.1829,1487.90
300.000,996.55700,112.553,112.655,0.3931,4.1302,4.1806,1501.50
305.000,995.07600,133.453,133.555,0.4622,4.1094,4.1795,1513.30
310.000,993.38400,154.349,154.451,0.5301,4.0876,4.1792,1523.40
315.000,991.49600,175.246,175.348,0.5970,4.0649,4.1796,1531.90
320.000,989.42700,196.146,196.249,0.6628,4.0414,4.1805,1538.90
325.000,987.18700,217.052,217.154,0.7276,4.0171,4.1819,1544.50
330.000,984.78700,237.965,238.068,0.7915,3.9923,4.1837,1548.90
335.000,982.23400,258.888,258.992,0.8544,3.9671,4.1858,1552.00
340.000,979.53600,279.823,279.927,0.9165,3.9414,4.1883,1554.00
345.000,976.69900,300.771,300.875,0.9776,3.9155,4.1912,1555.00
350.000,973.72800,321.735,321.839,1.0380,3.8894,4.1945,1554.90
355.000,970.62900,342.716,342.821,1.0975,3.8631,4.1982,1554.00
360.000,967.40400,363.717,363.822,1.1562,3.8369,4.2023,1552.10
365.000,964.05700,384.740,384.845,1.2142,3.8107,4.2070,1549.30
370.000,960.59200,405.787,405.892,1.2715,3.7845,4.2121,1545.80
373.124,958.36700,418.952,419.058,1.3069,3.7683,4.2156,1543.20
373.124,0.59766,2505.990,2675.530,7.3544,1.5558,2.0799,472.18
375.000,0.59442,2508.960,2679.420,7.3648,1.5499,2.0716,473.52
380.000,0.58601,2516.830,2689.730,7.3921,1.5372,2.0532,477.01
385.000,0.57787,2524.620,2699.960,7.4189,1.5277,2.0388,480.41
390.000,0.56999,2532.360,2710.120,7.4451,1.5201,2.0271,483.75
395.000,0.56236,2540.060,2720.240,7.4709,1.5141,2.0174,487.03
400.000,0.55494,2547.720,2730.300,7.4962,1.5091,2.0093,490.26
410.000,0.54075,2562.950,2750.330,7.5457,1.5020,1.9967,496.59
420.000,0.52734,2578.100,2770.250,7.5937,1.4975,1.9878,502.78
430.000,0.51462,2593.200,2790.090,7.6404,1.4951,1.9818,508.82
440.000,0.50254,2608.260,2809.890,7.6859,1.4942,1.9780,514.75
450.000,0.49105,2623.310,2829.660,7.7303,1.4947,1.9759,520.57
460.000,0.48009,2638.360,2849.410,7.7737,1.4961,1.9752,526.29
470.000,0.46964,2653.420,2869.170,7.8162,1.4983,1.9756,531.92
480.000,0.45965,2668.490,2888.930,7.8578,1.5011,1.9769,537.46
490.000,0.45009,2683.580,2908.710,7.8986,1.5045,1.9789,542.92
500.000,0.44093,2698.710,2928.510,7.9386,1.5084,1.9816,548.30
510.000,0.43215,2713.870,2948.340,7.9779,1.5126,1.9848,553.61
520.000,0.42371,2729.070,2968.210,8.0164,1.5171,1.9884,558.84
530.000,0.41561,2744.310,2988.110,8.0543,1.5219,1.9924,564.02
540.000,0.40782,2759.600,3008.050,8.0916,1.5268,1.9967,569.13
550.000,0.40032,2774.930,3028.040,8.1283,1.5320,2.0012,574.18
560.000,0.39309,2790.320,3048.080,8.1644,1.5374,2.0060,579.17
570.000,0.38613,2805.750,3068.160,8.2000,1.5429,2.0110,584.11
580.000,0.37941,2821.240,3088.300,8.2350,1.5485,2.0161,588.99
590.000,0.37292,2836.780,3108.490,8.2695,1.5542,2.0215,593.82
600.000,0.36666,2852.380,3128.730,8.3035,1.5600,2.0269,598.60
610.000,0.36060,2868.040,3149.030,8.3370,1.5659,2.0325,603.33
620.000,0.35475,2883.750,3169.380,8.3701,1.5719,2.0382,608.01
630.000,0.34908,2899.520,3189.790,8.4028,1.5780,2.0440,612.65
640.000,0.34359,2915.360,3210.260,8.4350,1.5842,2.0498,617.24
650.000,0.33827,2931.250,3230.790,8.4669,1.5904,2.0558,621.79
675.000,0.32568,2971.250,3282.370,8.5447,1.6062,2.0711,632.98
700.000,0.31399,3011.650,3334.340,8.6203,1.6223,2.0868,643.92
725.000,0.30312,3052.440,3386.710,8.6938,1.6386,2.1028,654.62
750.000,0.29298,3093.650,3439.490,8.7654,1.6553,2.1191,665.11
775.000,0.28350,3135.260,3492.670,8.8352,1.6721,2.1357,675.39
800.000,0.27462,3177.310,3546.270,8.9032,1.6892,2.1526,685.47
825.000,0.26628,3219.770,3600.300,8.9697,1.7064,2.1696,695.36
850.000,0.25843,3262.670,3654.760,9.0348,1.7238,2.1868,705.08
900.000,0.24404,3349.770,3764.970,9.1607,1.7589,2.2217,724.03
950.000,0.23118,3438.630,3876.930,9.2818,1.7943,2.2568,742.37
1000.000,0.21960,3529.250,3990.650,9.3985,1.8297,2.2921,760.16
1050.000,0.20914,3621.640,4106.140,9.5111,1.8650,2.3273,777.47
1100.000,0.19962,3715.790,4223.370,9.6202,1.9000,2.3621,794.33
1150.000,0.19093,3811.660,4342.340,9.7260,1.9344,2.3965,810.78
1200.000,0.18297,3909.250,4463.010,9.8287,1.9682,2.4303,826.85
1250.000,0.17565,4008.500,4585.350,9.9286,2.0013,2.4633,842.59
1273.000,0.17248,4054.710,4642.180,9.9736,2.0162,2.4781,849.72
,,,,,,,
P=0.25MPa,,,,,,,
273.142,999.91800,-0.071,0.179,-0.0003,4.2163,4.2187,1402.60
275.000,1000.01000,7.761,8.011,0.0283,4.2121,4.2128,1411.80
280.000,999.98300,28.792,29.042,0.1041,4.1992,4.2003,1434.50
285.000,999.58800,49.771,50.021,0.1784,4.1842,4.1918,1454.70
290.000,998.87300,70.715,70.965,0.2512,4.1675,4.1861,1472.50
295.000,997.87500,91.635,91.886,0.3227,4.1492,4.1824,1488.10
300.000,996.62400,112.541,112.792,0.3930,4.1297,4.1802,1501.80
305.000,995.14200,133.439,133.690,0.4621,4.1090,4.1791,1513.60
310.000,993.44900,154.333,154.584,0.5301,4.0872,4.1789,1523.60
315.000,991.56100,175.227,175.479,0.5969,4.0645,4.1793,1532.10
320.000,989.49200,196.125,196.378,0.6627,4.0410,4.1802,1539.10
325.000,987.25200,217.029,217.282,0.7276,4.0168,4.1816,1544.80
330.000,984.85200,237.940,238.194,0.7914,3.9920,4.1833,1549.10
335.000,982.29900,258.861,259.116,0.8543,3.9667,4.1855,1552.30
340.000,979.60100,279.794,280.049,0.9164,3.9411,4.1880,1554.30
345.000,976.76500,300.740,300.996,0.9775,3.9152,4.1909,1555.30
350.000,973.79500,321.702,321.958,1.0379,3.8891,4.1941,1555.20
355.000,970.69600,342.681,342.938,1.0974,3.8629,4.1979,1554.30
360.000,967.47100,363.679,363.938,1.1561,3.8366,4.2020,1552.40
365.000,964.12600,384.700,384.959,1.2141,3.8104,4.2066,1549.70
370.000,960.66100,405.745,406.005,1.2714,3.7843,4.2118,1546.10
375.000,957.08100,426.817,427.078,1.3279,3.7584,4.2175,1541.80
380.000,953.38500,447.919,448.181,1.3838,3.7326,4.2238,1536.70
385.000,949.57800,469.054,469.317,1.4391,3.7071,4.2307,1530.90
390.000,945.65800,490.225,490.489,1.4937,3.6819,4.2383,1524.40
395.000,941.62800,511.435,511.701,1.5478,3.6570,4.2465,1517.30
400.000,937.48800,532.689,532.956,1.6013,3.6324,4.2555,1509.50
400.561,937.01600,535.078,535.345,1.6072,3.6296,4.2566,1508.60
400.561,1.39150,2536.820,2716.490,7.0524,1.6457,2.2219,484.91
410.000,1.35510,2552.650,2737.140,7.1034,1.6045,2.1605,491.72
420.000,1.31910,2569.010,2758.530,7.1550,1.5790,2.1203,498.52
430.000,1.28540,2585.090,2779.590,7.2045,1.5620,2.0920,505.05
440.000,1.25360,2600.970,2800.400,7.2524,1.5501,2.0712,511.37
450.000,1.22360,2616.720,2821.030,7.2987,1.5417,2.0556,517.53
460.000,1.19520,2632.350,2841.520,7.3438,1.5361,2.0439,523.53
470.000,1.16820,2647.920,2861.920,7.3876,1.5327,2.0353,529.41
480.000,1.14260,2663.430,2882.240,7.4304,1.5308,2.0292,535.16
490.000,1.11810,2678.920,2902.510,7.4722,1.5304,2.0251,540.81
500.000,1.09470,2694.380,2922.750,7.5131,1.5310,2.0226,546.35
510.000,1.07240,2709.840,2942.970,7.5531,1.5325,2.0213,551.81
520.000,1.05100,2725.310,2963.180,7.5924,1.5347,2.0212,557.18
530.000,1.03050,2740.790,2983.390,7.6309,1.5375,2.0219,562.47
540.000,1.01080,2756.300,3003.620,7.6687,1.5409,2.0234,567.69
550.000,0.99192,2771.820,3023.860,7.7058,1.5446,2.0255,572.84
560.000,0.97373,2787.390,3044.130,7.7423,1.5487,2.0282,577.92
570.000,0.95622,2802.980,3064.430,7.7783,1.5531,2.0313,582.93
580.000,0.93935,2818.620,3084.760,7.8136,1.5578,2.0348,587.89
590.000,0.92309,2834.290,3105.120,7.8484,1.5627,2.0386,592.78
600.000,0.90740,2850.020,3125.530,7.8827,1.5678,2.0428,597.63
610.000,0.89224,2865.790,3145.980,7.9165,1.5731,2.0472,602.41
620.000,0.87760,2881.600,3166.470,7.9499,1.5785,2.0518,607.15
630.000,0.86343,2897.470,3187.020,7.9827,1.5841,2.0566,611.83
640.000,0.84973,2913.400,3207.610,8.0152,1.5897,2.0617,616.47
650.000,0.83647,2929.370,3228.250,8.0472,1.5955,2.0668,621.06
675.000,0.80508,2969.560,3280.090,8.1254,1.6105,2.0805,632.34
700.000,0.77600,3010.120,3332.280,8.2013,1.6259,2.0948,643.36
725.000,0.74898,3051.050,3384.830,8.2751,1.6417,2.1098,654.14
750.000,0.72380,3092.370,3437.770,8.3469,1.6579,2.1252,664.68
775.000,0.70027,3134.090,3491.100,8.4168,1.6744,2.1411,675.01
800.000,0.67823,3176.220,3544.830,8.4851,1.6912,2.1573,685.14
825.000,0.65755,3218.770,3598.970,8.5517,1.7082,2.1738,695.07
850.000,0.63811,3261.740,3653.520,8.6168,1.7254,2.1906,704.83
900.000,0.60249,3348.960,3763.900,8.7430,1.7601,2.2247,723.83
950.000,0.57066,3437.910,3876.000,8.8642,1.7953,2.2593,742.22
1000.000,0.54204,3528.610,3989.840,8.9810,1.8305,2.2942,760.05
1050.000,0.51616,3621.070,4105.420,9.0938,1.8657,2.3290,777.39
1100.000,0.49264,3715.270,4222.740,9.2029,1.9005,2.3636,794.27
1150.000,0.47118,3811.190,4341.780,9.3088,1.9349,2.3978,810.75
1200.000,0.45152,3908.820,4462.510,9.4115,1.9687,2.4314,826.84
1250.000,0.43343,4008.110,4584.900,9.5114,2.0017,2.4642,842.59
1273.000,0.42559,4054.330,4641.750,9.5565,2.0166,2.4791,849.73
,,,,,,,
P=0.5MPa,,,,,,,
273.123,1000.04000,-0.147,0.353,-0.0005,4.2152,4.2176,1402.90
275.000,1000.14000,7.764,8.264,0.0283,4.2110,4.2116,1412.20
280.000,1000.10000,28.789,29.289,0.1041,4.1981,4.1993,1434.90
285.000,999.70600,49.763,50.263,0.1783,4.1832,4.1909,1455.10
290.000,998.98900,70.702,71.203,0.2512,4.1665,4.1853,1472.90
295.000,997.98900,91.619,92.120,0.3227,4.1484,4.1817,1488.60
300.000,996.73600,112.520,113.022,0.3930,4.1289,4.1795,1502.20
305.000,995.25300,133.414,133.916,0.4620,4.1082,4.1785,1514.00
310.000,993.55900,154.305,154.808,0.5300,4.0864,4.1782,1524.10
315.000,991.67100,175.196,175.700,0.5968,4.0638,4.1787,1532.60
320.000,989.60100,196.090,196.595,0.6626,4.0403,4.1796,1539.60
325.000,987.36100,216.990,217.497,0.7274,4.0161,4.1810,1545.20
330.000,984.96100,237.898,238.406,0.7913,3.9914,4.1828,1549.60
335.000,982.40900,258.816,259.325,0.8542,3.9662,4.1849,1552.70
340.000,979.71100,279.745,280.255,0.9162,3.9406,4.1874,1554.80
345.000,976.87600,300.688,301.200,0.9774,3.9147,4.1903,1555.80
350.000,973.90600,321.646,322.159,1.0377,3.8886,4.1936,1555.70
355.000,970.80800,342.621,343.136,1.0972,3.8624,4.1973,1554.80
360.000,967.58500,363.616,364.133,1.1559,3.8362,4.2015,1552.90
365.000,964.24100,384.633,385.152,1.2139,3.8100,4.2061,1550.20
370.000,960.77800,405.674,406.195,1.2712,3.7839,4.2112,1546.60
375.000,957.19900,426.743,427.265,1.3277,3.7580,4.2169,1542.30
380.000,953.50500,447.841,448.365,1.3836,3.7322,4.2232,1537.30
385.000,949.69900,468.971,469.498,1.4389,3.7068,4.2301,1531.50
390.000,945.78200,490.138,490.667,1.4935,3.6815,4.2376,1525.00
395.000,941.75400,511.345,511.875,1.5476,3.6566,4.2459,1517.90
400.000,937.61700,532.594,533.127,1.6010,3.6321,4.2548,1510.10
410.000,929.01200,575.236,575.774,1.7063,3.5840,4.2751,1492.60
420.000,919.96400,618.097,618.640,1.8096,3.5375,4.2988,1472.70
424.981,915.29000,639.539,640.085,1.8604,3.5150,4.3120,1461.90
424.981,2.66800,2560.710,2748.110,6.8207,1.7593,2.4103,493.85
430.000,2.62970,2569.900,2760.040,6.8486,1.7170,2.3469,497.85
440.000,2.55790,2587.600,2783.070,6.9015,1.6661,2.2671,505.18
450.000,2.49130,2604.770,2805.470,6.9519,1.6352,2.2159,512.04
460.000,2.42900,2621.590,2827.440,7.0001,1.6137,2.1787,518.62
470.000,2.37050,2638.150,2849.080,7.0467,1.5981,2.1504,524.96
480.000,2.31530,2654.510,2870.470,7.0917,1.5866,2.1285,531.12
490.000,2.26310,2670.720,2891.660,7.1354,1.5784,2.1116,537.12
500.000,2.21350,2686.830,2912.710,7.1779,1.5726,2.0984,542.97
510.000,2.16640,2702.850,2933.640,7.2194,1.5688,2.0883,548.70
520.000,2.12150,2718.800,2954.480,7.2599,1.5666,2.0807,554.31
530.000,2.07860,2734.720,2975.260,7.2994,1.5657,2.0752,559.81
540.000,2.03760,2750.610,2995.990,7.3382,1.5659,2.0713,565.22
550.000,1.99840,2766.490,3016.690,7.3762,1.5669,2.0687,570.54
560.000,1.96070,2782.360,3037.370,7.4134,1.5687,2.0674,575.77
570.000,1.92460,2798.240,3058.040,7.4500,1.5712,2.0670,580.93
580.000,1.88980,2814.140,3078.710,7.4860,1.5741,2.0674,586.01
590.000,1.85640,2830.050,3099.390,7.5213,1.5775,2.0686,591.02
600.000,1.82420,2845.990,3120.090,7.5561,1.5813,2.0703,595.97
610.000,1.79310,2861.960,3140.800,7.5903,1.5854,2.0726,600.86
620.000,1.76310,2877.960,3161.540,7.6241,1.5898,2.0754,605.68
630.000,1.73420,2894.000,3182.310,7.6573,1.5945,2.0785,610.45
640.000,1.70630,2910.080,3203.110,7.6901,1.5993,2.0820,615.17
650.000,1.67920,2926.200,3223.950,7.7224,1.6044,2.0858,619.83
675.000,1.61540,2966.710,3276.230,7.8013,1.6178,2.0965,631.28
700.000,1.55640,3007.530,3328.790,7.8777,1.6321,2.1085,642.43
725.000,1.50160,3048.690,3381.660,7.9520,1.6470,2.1216,653.32
750.000,1.45070,3090.210,3434.880,8.0241,1.6624,2.1355,663.97
775.000,1.40320,3132.110,3488.450,8.0944,1.6783,2.1501,674.38
800.000,1.35870,3174.390,3542.390,8.1629,1.6946,2.1653,684.59
825.000,1.31700,3217.070,3596.710,8.2298,1.7112,2.1809,694.59
850.000,1.27790,3260.160,3651.440,8.2951,1.7280,2.1969,704.40
900.000,1.20620,3347.580,3762.100,8.4216,1.7622,2.2299,723.50
950.000,1.14220,3436.700,3874.440,8.5431,1.7969,2.2636,741.97
1000.000,1.08480,3527.540,3988.470,8.6600,1.8319,2.2977,759.87
1050.000,1.03280,3620.110,4104.210,8.7730,1.8668,2.3320,777.26
1100.000,0.98568,3714.400,4221.670,8.8822,1.9015,2.3662,794.19
1150.000,0.94266,3810.410,4340.820,8.9882,1.9357,2.4000,810.69
1200.000,0.90325,3908.100,4461.660,9.0910,1.9694,2.4333,826.82
1250.000,0.86702,4007.450,4584.140,9.1910,2.0023,2.4659,842.59
1273.000,0.85132,4053.700,4641.020,9.2361,2.0171,2.4806,849.74
,,,,,,,
P=0.75MPa,,,,,,,
273.105,1000.17000,-0.218,0.532,-0.0008,4.2140,4.2164,1403.20
275.000,1000.26000,7.766,8.516,0.0283,4.2098,4.2104,1412.60
280.000,1000.23000,28.786,29.536,0.1041,4.1971,4.1983,1435.30
285.000,999.82400,49.755,50.505,0.1783,4.1822,4.1900,1455.50
290.000,999.10400,70.690,71.441,0.2511,4.1656,4.1845,1473.30
295.000,998.10300,91.602,92.353,0.3226,4.1475,4.1809,1489.00
300.000,996.84800,112.500,113.252,0.3929,4.1280,4.1788,1502.60
305.000,995.36400,133.390,134.143,0.4619,4.1074,4.1778,1514.40
310.000,993.66900,154.277,155.031,0.5299,4.0857,4.1776,1524.50
